benchmark,p_top1,p_top10,delta_pp,cohens_h,n_atual,n_necessario
IFEval,0.8062607215521482,0.7971681804279312,0.909254112421698,0.022806333417721536,541,30181
BBH,0.6260944328290159,0.5763392862080289,4.975514662098702,0.10166351024746545,6511,1519
MATH Lvl 5,0.4033232628398791,0.6027190332326284,19.93957703927493,-0.40149027742307886,1324,98
GPQA,0.203579418344519,0.14988814317673374,5.369127516778526,0.1411285323921858,448,789
MuSR,0.3852890624999999,0.18155989583333335,20.372916666666654,0.45896117702372496,756,75
MMLU-PRO,0.7003361406619385,0.5325428486997635,16.779329196217496,0.3471187453179183,12032,131
