cluster,IFEval,BBH,MATH Lvl 5,GPQA,MuSR,MMLU-PRO
0,79.63638669653172,49.284657091555225,50.789328113697294,12.605161168352396,13.233887177230047,45.68266573435887
1,66.8726844268158,49.54100909025128,41.49186349903873,17.66956477526947,20.260733309659088,48.16337829760369
2,72.90723462231728,58.734251256730595,44.3662455369404,22.371364653243848,19.95950520833333,52.540279792606924
3,66.68712165203142,55.69632967685668,47.916666666666664,12.204822271936367,14.297562210648145,48.97993211518256
4,77.1673260810417,56.263422050180644,37.622284563372176,16.874400767018216,17.656200396825394,48.3293668383429
5,49.71878583745098,55.08157909135299,49.77341389728097,19.031639501438157,23.19873511904762,52.18636545930429
6,79.39258944046242,62.91340714938501,37.91540785498489,20.49217002237136,36.93093749999999,65.30363475177305
7,82.07168595488254,57.86897161736028,57.9373798407031,13.539760016270083,14.411257102272726,51.64619936062755
