modelo,rmse_test,mae_test,r2_test,r2_train
GradientBoosting,5.7302389990586295,3.847456811374272,0.7095963039150308,0.7938840490358158
XGBoost,5.814050601855975,3.8084152813572048,0.7010391759526489,0.8102450702022921
RandomForest,5.957177770208122,3.9289252256297913,0.6861386865799887,0.826247993471305
Ridge,6.842261940476802,4.909495139865954,0.5859468817709548,0.5883106726040284
